track_id,class_id,class_name,mean_confidence,frame_count,first_frame,last_frame,first_timestamp,last_timestamp,first_centroid_x,first_centroid_y,last_centroid_x,last_centroid_y,avg_speed_kmh,max_speed_kmh,speed_estimated
1,2,car,0.8680449724197388,69,0,68,0.0,2.2666666666666666,1032.2901611328125,651.0166625976562,1131.5577392578125,1069.1513061523438,34.46315477143981,51.819507224031,True
2,2,car,0.8766064349342795,85,0,84,0.0,2.8,956.0227661132812,598.8762817382812,819.4089050292969,1064.425537109375,29.99501415714464,57.126854732290724,True
3,2,car,0.8596835429629972,124,0,123,0.0,4.1,1025.3748779296875,576.5882568359375,1129.4739990234375,1065.23486328125,21.433305071527855,46.45619702630456,True
5,2,car,0.8372437691538589,159,0,158,0.0,5.266666666666667,960.6509399414062,542.3701782226562,871.7295227050781,1058.0208129882812,17.771566250377894,42.89477150163728,True
6,2,car,0.8407665703728883,171,0,170,0.0,5.666666666666667,1034.1873779296875,548.80224609375,1271.3280029296875,1028.7151489257812,,,False
7,2,car,0.820320522166648,212,0,211,0.0,7.033333333333333,1002.341552734375,525.7273559570312,1075.5569152832031,1068.1396484375,13.112602341209294,32.06169252492798,True
8,2,car,0.8480591434412278,104,0,103,0.0,3.433333333333333,891.6375732421875,586.9287719726562,688.7162475585938,1047.7396850585938,,,False
9,2,car,0.7431106534269121,36,0,35,0.0,1.1666666666666667,1171.2166748046875,552.439208984375,1279.0389404296875,563.121826171875,,,False
10,2,car,0.721767439365387,125,0,124,0.0,4.133333333333334,880.8275146484375,545.4493408203125,684.8333740234375,810.3995971679688,,,False
11,2,car,0.6216906814033945,533,0,532,0.0,17.733333333333334,703.546142578125,654.586669921875,705.2930908203125,669.6385498046875,0.33138231490621717,0.499102513529816,True
12,2,car,0.46946871428206416,101,0,100,0.0,3.3333333333333335,1116.69580078125,535.0695190429688,1277.7427368164062,559.2621154785156,,,False
13,2,car,0.7069475794855452,211,0,210,0.0,7.0,918.54736328125,509.2198791503906,685.1524353027344,840.9713745117188,,,False
14,2,car,0.7138795696123682,198,0,198,0.0,6.6,1057.10888671875,525.0228881835938,1281.8760986328125,740.4417419433594,,,False
15,2,car,0.7529637573980817,357,0,356,0.0,11.866666666666667,972.75830078125,496.69964599609375,848.8603515625,1063.2353515625,8.349234989608943,23.906840420807708,True
16,2,car,0.5595492520989889,533,0,532,0.0,17.733333333333334,883.52783203125,514.1757202148438,885.8338317871094,527.3145446777344,,,False
